Reference Angle [degree],Measured Angle [degree] 
204.500000,134.769592
201.500000,132.939056
198.500000,131.137146
195.500000,128.500412
192.500000,122.777237
189.500000,114.445290
186.500000,111.955940
183.500000,109.875999
180.500000,108.313271
177.500000,106.498215
174.500000,104.610184
171.500000,103.071114
168.500000,100.769257
165.500000,97.877708
162.500000,91.974831
159.500000,86.078506
156.500000,83.639709
153.500000,81.492577
150.500000,80.055214
147.500000,78.192627
144.500000,76.442360
141.500000,74.826149
138.500000,72.426987
135.500000,69.053154
132.500000,58.969051
129.500000,55.500946
126.500000,53.357716
123.500000,51.923290
120.500000,50.017700
117.500000,48.508087
114.500000,46.834198
111.500000,44.877880
108.500000,42.935272
105.500000,40.026505
102.500000,35.077114
99.500000,28.039944
96.500000,25.470736
93.500000,23.672501
90.500000,21.777294
87.500000,20.112364
84.500000,18.459356
81.500000,16.485394
78.500000,14.426206
75.500000,11.738408
72.500000,2.907307
69.500000,356.232666
66.500000,357.283600
63.500000,355.454987
60.500000,353.628052
57.500000,351.661163
54.500000,349.854767
51.500000,347.877625
48.500000,345.238251
45.500000,340.846954
42.500000,333.241516
39.500000,329.063995
36.500000,326.823090
33.500000,325.042328
30.500000,323.265839
27.500000,321.579803
24.500000,319.850708
21.500000,318.018707
18.500000,315.948578
15.500000,313.216309
12.500000,306.738434
9.500000,297.157410
6.500000,294.582886
3.500000,292.625793
0.500000,290.709198
